index,image,score,title,star,time
21,http://p0.meituan.net/movie/5bef87296178cc0c0946f9c352ca267a119592.jpg@160w_220h_1e_1c,9.3,美丽人生,"罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼",1997-12-20(意大利)
22,http://p0.meituan.net/movie/37/4457598.jpg@160w_220h_1e_1c,9.2,海上钢琴师,"蒂姆·罗斯,普路特·泰勒·文斯,比尔·努恩",1998-10-28(意大利)
23,http://p0.meituan.net/movie/5ab34fd790f2970512ee7668cf73f04f110032.jpg@160w_220h_1e_1c,9.2,指环王3：王者无敌,"伊利亚·伍德,伊恩·麦克莱恩,丽芙·泰勒",2004-03-15
24,http://p0.meituan.net/movie/88/3864695.jpg@160w_220h_1e_1c,8.9,加勒比海盗,"约翰尼·德普,凯拉·奈特莉,奥兰多·布鲁姆",2003-11-21
25,http://p1.meituan.net/movie/__42975419__9836378.jpg@160w_220h_1e_1c,9.1,无间道,"刘德华,梁朝伟,黄秋生",2003-09-05
26,http://p1.meituan.net/movie/53b6f0b66882a53b08896c92076515a8236400.jpg@160w_220h_1e_1c,8.9,射雕英雄传之东成西就,"张国荣,林青霞,梁朝伟",1993-02-05(中国香港)
27,http://p1.meituan.net/movie/75bd869f7224871c5ebf781720cf456e117189.jpg@160w_220h_1e_1c,9.3,蝙蝠侠：黑暗骑士,"克里斯蒂安·贝尔,希斯·莱杰,艾伦·艾克哈特",2008-07-18(美国)
28,http://p1.meituan.net/movie/aacb9ed2a6601bfe515ef0970add1715623792.jpg@160w_220h_1e_1c,9.1,哈利·波特与魔法石,"丹尼尔·雷德克里夫,鲁伯特·格林特,艾玛·沃森",2002-01-26
29,http://p0.meituan.net/movie/84/3686822.jpg@160w_220h_1e_1c,8.9,楚门的世界,"金·凯瑞,劳拉·琳妮,诺亚·艾默里奇",1998-06-01(美国)
30,http://p0.meituan.net/movie/e3285cf6ed5395777433e8be5fd0078087787.jpg@160w_220h_1e_1c,9.1,指环王2：双塔奇兵,"伊利亚·伍德,伊恩·麦克莱恩,丽芙·泰勒",2003-04-25
31,http://p0.meituan.net/movie/53/930936.jpg@160w_220h_1e_1c,9.3,机器人总动员,"本·贝尔特,艾丽莎·奈特,杰夫·格尔林",2008-06-27(美国)
32,http://p0.meituan.net/movie/53/1819401.jpg@160w_220h_1e_1c,9.0,活着,"葛优,巩俐,牛犇",1994-05-18(法国)
33,http://p0.meituan.net/movie/32/595031.jpg@160w_220h_1e_1c,8.9,拯救大兵瑞恩,"汤姆·汉克斯,马特·达蒙,汤姆·塞兹摩尔",1998-07-24(美国)
34,http://p0.meituan.net/movie/4/9978669.jpg@160w_220h_1e_1c,9.0,教父2,"阿尔·帕西诺,罗伯特·德尼罗,黛安·基顿",1974-12-12(美国)
35,http://p0.meituan.net/movie/11/295014.jpg@160w_220h_1e_1c,9.2,天堂电影院,"菲利浦·诺瓦雷,塞吉·卡斯特里图,蒂兹亚娜·罗达托",1988-11-17(意大利)
36,http://p1.meituan.net/movie/4faf9749d2014b7cc94331a38d848f99132123.jpg@160w_220h_1e_1c,9.2,盗梦空间,"莱昂纳多·迪卡普里奥,渡边谦,约瑟夫·高登-莱维特",2010-09-01
37,http://p0.meituan.net/movie/75/9117168.jpg@160w_220h_1e_1c,8.8,阿飞正传,"张国荣,张曼玉,刘德华",1990-12-15(中国香港)
38,http://p0.meituan.net/movie/__42975603__8516905.jpg@160w_220h_1e_1c,9.0,哈尔的移动城堡,"倍赏千惠子,木村拓哉,美轮明宏",2004-11-20(日本)
39,http://p0.meituan.net/movie/d54305f773c25fd0e4070249c3eccb83112381.jpg@160w_220h_1e_1c,9.3,忠犬八公的故事,"Forest,理查·基尔,琼·艾伦",2010-03-12(英国)
40,http://p0.meituan.net/movie/9/1476994.jpg@160w_220h_1e_1c,8.9,幽灵公主,"松田洋治,石田百合子,田中裕子",1997-07-12(日本)
41,http://p1.meituan.net/movie/c5e76795bf7a78b12a2ffabb4a0c5c11112921.jpg@160w_220h_1e_1c,8.8,搏击俱乐部,"爱德华·诺顿,布拉德·皮特,海伦娜·伯翰·卡特",1999-10-15(美国)
42,http://p0.meituan.net/movie/75b308e3a8e4f691d29cb45f84d7b5c4104321.jpg@160w_220h_1e_1c,8.9,东邪西毒,"张国荣,林青霞,梁朝伟",1994-09-17
43,http://p0.meituan.net/movie/77/5392065.jpg@160w_220h_1e_1c,8.9,风之谷,"岛本须美,永井一郎,坂本千夏",1992
44,http://p0.meituan.net/movie/57/5832292.jpg@160w_220h_1e_1c,8.8,V字仇杀队,"娜塔莉·波特曼,雨果·维文,斯蒂芬·瑞",2006-03-17(美国)
45,http://p0.meituan.net/movie/54/868271.jpg@160w_220h_1e_1c,9.0,阿凡达,"萨姆·沃辛顿,佐伊·索尔达娜,米歇尔·罗德里格兹",2010-01-04
46,http://p0.meituan.net/movie/__38288284__4749195.jpg@160w_220h_1e_1c,8.9,放牛班的春天,"杰拉尔·朱诺,尚-巴堤·莫里耶,玛丽·布奈尔",2004-10-16
47,http://p0.meituan.net/movie/__7457113__8454111.jpg@160w_220h_1e_1c,9.5,疯狂原始人,"尼古拉斯·凯奇,艾玛·斯通,瑞安·雷诺兹",2013-04-20
48,http://p0.meituan.net/movie/50/821132.jpg@160w_220h_1e_1c,8.9,当幸福来敲门,"威尔·史密斯,贾登·史密斯,桑迪·牛顿",2008-01-17
49,http://p0.meituan.net/movie/44/637726.jpg@160w_220h_1e_1c,9.0,驯龙高手,"杰伊·巴鲁切尔,杰拉德·巴特勒,亚美莉卡·费雷拉",2010-05-14
50,http://p1.meituan.net/movie/0f9f10b52df5bf346632353d6600e00b133155.jpg@160w_220h_1e_1c,8.8,黑客帝国3：矩阵革命,"基努·里维斯,雨果·维文,凯瑞-安·莫斯",2003-11-05
51,http://p0.meituan.net/movie/16/2004356.jpg@160w_220h_1e_1c,8.8,勇敢的心,"梅尔·吉布森,苏菲·玛索,帕特里克·麦高汉",1995-05-24(美国)
52,http://p0.meituan.net/movie/41/529773.jpg@160w_220h_1e_1c,9.0,神偷奶爸,"史蒂夫·卡瑞尔,杰森·席格尔,拉塞尔·布兰德",2010-07-09(美国)
53,http://p0.meituan.net/movie/62/499239.jpg@160w_220h_1e_1c,8.9,飞屋环游记,"爱德华·阿斯纳,乔丹·长井,鲍勃·彼德森",2009-08-04
54,http://p0.meituan.net/movie/30/380718.jpg@160w_220h_1e_1c,9.2,速度与激情5,"范·迪塞尔,保罗·沃克,道恩·强森",2011-05-12
55,http://p0.meituan.net/movie/86/2992612.jpg@160w_220h_1e_1c,9.1,十二怒汉,"亨利·方达,李·科布,马丁·鲍尔萨姆",1957-04-13(美国)
56,http://p0.meituan.net/movie/17/6995038.jpg@160w_220h_1e_1c,8.9,怦然心动,"玛德琳·卡罗尔,卡兰·麦克奥利菲,艾丹·奎因",2010-08-06(美国)
57,http://p0.meituan.net/movie/19/9277847.jpg@160w_220h_1e_1c,9.0,断背山,"希斯·莱杰,杰克·吉伦哈尔,米歇尔·威廉姆斯",2006-01-13(美国)
58,http://p0.meituan.net/movie/44/43.jpg@160w_220h_1e_1c,9.1,三傻大闹宝莱坞,"阿米尔·汗,黄渤,卡琳娜·卡普",2011-12-08
59,http://p0.meituan.net/movie/67/8094010.jpg@160w_220h_1e_1c,8.8,闻香识女人,"阿尔·帕西诺,克里斯·奥唐纳,加布里埃尔·安瓦尔",1992-12-23(美国)
60,http://p0.meituan.net/movie/12/2130469.jpg@160w_220h_1e_1c,8.8,致命魔术,"休·杰克曼,克里斯蒂安·贝尔,迈克尔·凯恩",2006-10-20(美国)
61,http://p0.meituan.net/movie/55/9750194.jpg@160w_220h_1e_1c,8.8,飞越疯人院,"杰克·尼科尔森,路易丝·弗莱彻,威尔·萨姆森",1975-11-19(美国)
